Country,Population,GDP_per_Capita,Year,Medal
Australia,23781169,56310.9629933721,1952,Bronze
Australia,23781169,56310.9629933721,1952,Bronze
Australia,23781169,56310.9629933721,1952,Bronze
Australia,23781169,56310.9629933721,1952,Bronze
Australia,23781169,56310.9629933721,1952,Bronze
Australia,23781169,56310.9629933721,1952,Bronze
Australia,23781169,56310.9629933721,1952,Bronze
Australia,23781169,56310.9629933721,1952,Bronze
Australia,23781169,56310.9629933721,1952,Silver
Australia,23781169,56310.9629933721,1952,Bronze
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Silver
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Silver
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Silver
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Silver
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Silver
Australia,23781169,56310.9629933721,1956,Silver
Australia,23781169,56310.9629933721,1956,Silver
Australia,23781169,56310.9629933721,1956,Silver
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Silver
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Gold
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Silver
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Bronze
Australia,23781169,56310.9629933721,1956,Silver
Australia,23781169,56310.9629933721,1956,Silver
Australia,23781169,56310.9629933721,1960,Gold
Australia,23781169,56310.9629933721,1960,Bronze
Australia,23781169,56310.9629933721,1960,Gold
Australia,23781169,56310.9629933721,1960,Gold
