Country,Population,GDP per Capita,Year,Medal
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Silver
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Bronze
Austria,8611088,43774.985173612,2010,Silver
Austria,8611088,43774.985173612,2010,Silver
Austria,8611088,43774.985173612,2010,Silver
Austria,8611088,43774.985173612,2010,Silver
Austria,8611088,43774.985173612,2010,Silver
Austria,8611088,43774.985173612,2010,Gold
Austria,8611088,43774.985173612,2010,Gold
Austria,8611088,43774.985173612,2010,Silver
Austria,8611088,43774.985173612,2010,Bronze
Austria,8611088,43774.985173612,2010,Bronze
Austria,8611088,43774.985173612,2010,Silver
Austria,8611088,43774.985173612,2010,Gold
Austria,8611088,43774.985173612,2010,Silver
Austria,8611088,43774.985173612,2010,Bronze
Austria,8611088,43774.985173612,2010,Gold
Austria,8611088,43774.985173612,2010,Gold
Austria,8611088,43774.985173612,2010,Gold
Austria,8611088,43774.985173612,2010,Gold
Austria,8611088,43774.985173612,2010,Bronze
Austria,8611088,43774.985173612,2010,Gold
Austria,8611088,43774.985173612,2010,Gold
Austria,8611088,43774.985173612,2010,Gold
Austria,8611088,43774.985173612,2010,Gold
Austria,8611088,43774.985173612,2010,Bronze
Austria,8611088,43774.985173612,2010,Silver
Austria,8611088,43774.985173612,2010,Bronze
Austria,8611088,43774.985173612,2014,Silver
Austria,8611088,43774.985173612,2014,Bronze
Austria,8611088,43774.985173612,2014,Bronze
Austria,8611088,43774.985173612,2014,Bronze
Austria,8611088,43774.985173612,2014,Bronze
Austria,8611088,43774.985173612,2014,Silver
Austria,8611088,43774.985173612,2014,Silver
Austria,8611088,43774.985173612,2014,Gold
Austria,8611088,43774.985173612,2014,Silver
Austria,8611088,43774.985173612,2014,Gold
Austria,8611088,43774.985173612,2014,Silver
Austria,8611088,43774.985173612,2014,Silver
Austria,8611088,43774.985173612,2014,Bronze
Austria,8611088,43774.985173612,2014,Silver
Austria,8611088,43774.985173612,2014,Gold
Austria,8611088,43774.985173612,2014,Bronze
Austria,8611088,43774.985173612,2014,Bronze
Austria,8611088,43774.985173612,2014,Bronze
Austria,8611088,43774.985173612,2014,Bronze
Austria,8611088,43774.985173612,2014,Bronze
Austria,8611088,43774.985173612,2014,Silver
Austria,8611088,43774.985173612,2014,Silver
Austria,8611088,43774.985173612,2014,Silver
Austria,8611088,43774.985173612,2014,Silver
Austria,8611088,43774.985173612,2014,Silver
Austria,8611088,43774.985173612,2014,Bronze
Austria,8611088,43774.985173612,2014,Gold
Belarus,9513000,5740.45649479562,1994,Silver
Belarus,9513000,5740.45649479562,1994,Silver
Belarus,9513000,5740.45649479562,1998,Bronze
Belarus,9513000,5740.45649479562,1998,Bronze
Belarus,9513000,5740.45649479562,2002,Bronze
Belarus,9513000,5740.45649479562,2006,Silver
Belarus,9513000,5740.45649479562,2010,Bronze
Belarus,9513000,5740.45649479562,2010,Silver
Belarus,9513000,5740.45649479562,2010,Gold
Belarus,9513000,5740.45649479562,2014,Gold
Belarus,9513000,5740.45649479562,2014,Gold
Belarus,9513000,5740.45649479562,2014,Gold
Belarus,9513000,5740.45649479562,2014,Bronze
Belarus,9513000,5740.45649479562,2014,Gold
Belarus,9513000,5740.45649479562,2014,Gold
Belgium,11285721,40324.0277657215,1924,Bronze
Belgium,11285721,40324.0277657215,1924,Bronze
Belgium,11285721,40324.0277657215,1924,Bronze
Belgium,11285721,40324.0277657215,1924,Bronze
Belgium,11285721,40324.0277657215,1924,Bronze
Belgium,11285721,40324.0277657215,1928,Bronze
Belgium,11285721,40324.0277657215,1948,Silver
Belgium,11285721,40324.0277657215,1948,Silver
Belgium,11285721,40324.0277657215,1948,Silver
Belgium,11285721,40324.0277657215,1948,Silver
Belgium,11285721,40324.0277657215,1948,Gold
Belgium,11285721,40324.0277657215,1948,Gold
Belgium,11285721,40324.0277657215,1998,Bronze
Bulgaria,7177991,6993.47735975728,1980,Bronze
Bulgaria,7177991,6993.47735975728,1998,Gold
Bulgaria,7177991,6993.47735975728,2002,Bronze
Bulgaria,7177991,6993.47735975728,2002,Bronze
Bulgaria,7177991,6993.47735975728,2002,Silver
Bulgaria,7177991,6993.47735975728,2006,Silver
Canada,35851774,43248.529909341,1924,Gold
Canada,35851774,43248.529909341,1924,Gold
Canada,35851774,43248.529909341,1924,Gold
Canada,35851774,43248.529909341,1924,Gold
Canada,35851774,43248.529909341,1924,Gold
Canada,35851774,43248.529909341,1924,Gold
Canada,35851774,43248.529909341,1924,Gold
Canada,35851774,43248.529909341,1924,Gold
Canada,35851774,43248.529909341,1924,Gold
Canada,35851774,43248.529909341,1928,Gold
Canada,35851774,43248.529909341,1928,Gold
Canada,35851774,43248.529909341,1928,Gold
Canada,35851774,43248.529909341,1928,Gold
Canada,35851774,43248.529909341,1928,Gold
Canada,35851774,43248.529909341,1928,Gold
Canada,35851774,43248.529909341,1928,Gold
Canada,35851774,43248.529909341,1928,Gold
Canada,35851774,43248.529909341,1928,Gold
Canada,35851774,43248.529909341,1928,Gold
Canada,35851774,43248.529909341,1928,Gold
Canada,35851774,43248.529909341,1928,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Gold
Canada,35851774,43248.529909341,1932,Bronze
Canada,35851774,43248.529909341,1932,Bronze
Canada,35851774,43248.529909341,1932,Bronze
Canada,35851774,43248.529909341,1932,Silver
Canada,35851774,43248.529909341,1932,Bronze
Canada,35851774,43248.529909341,1932,Bronze
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1936,Silver
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Gold
Canada,35851774,43248.529909341,1948,Bronze
Canada,35851774,43248.529909341,1948,Bronze
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Gold
