Country,Code,Population,GDP_per_Capita,Year,City,Sport,Discipline,Athlete,Gender,Event,Medal
Argentina,ARG,43416755,13431.8783398577,1948,London,Sailing,Sailing,"SIEBURGER SR., Enrique Conrado",Men,6M,Silver
Argentina,ARG,43416755,13431.8783398577,1948,London,Sailing,Sailing,"SIEBURGER, Julio Christian",Men,6M,Silver
Argentina,ARG,43416755,13431.8783398577,1948,London,Shooting,Shooting,"DIAZ SAENZ VALIENTE, Carlos Enrique",Men,25M Rapid Fire Pistol (60 Shots),Silver
Argentina,ARG,43416755,13431.8783398577,1952,Helsinki,Athletics,Athletics,"GORNO, Reinaldo",Men,Marathon,Silver
Argentina,ARG,43416755,13431.8783398577,1952,Helsinki,Boxing,Boxing,"HERRERA, Eladio Oscar",Men,67 - 71KG (Light-Middleweight),Bronze
Argentina,ARG,43416755,13431.8783398577,1952,Helsinki,Boxing,Boxing,"PACENZA, Antonio",Men,75 - 81KG (Light-Heavyweight),Silver
Argentina,ARG,43416755,13431.8783398577,1952,Helsinki,Rowing,Rowing,"CAPPOZZO, Tranquilo",Men,Double Sculls (2X),Gold
Argentina,ARG,43416755,13431.8783398577,1952,Helsinki,Rowing,Rowing,"GUERRERO, Eduardo",Men,Double Sculls (2X),Gold
Argentina,ARG,43416755,13431.8783398577,1952,Helsinki,Weightlifting,Weightlifting,"SELVETTI, Humberto",Men,"+ 90KG, Total (Heavyweight)",Bronze
Argentina,ARG,43416755,13431.8783398577,1956,Melbourne / Stockholm,Boxing,Boxing,"ZALAZAR, Victor",Men,71-75KG,Bronze
Argentina,ARG,43416755,13431.8783398577,1956,Melbourne / Stockholm,Weightlifting,Weightlifting,"SELVETTI, Humberto",Men,"+ 90KG, Total (Heavyweight)",Silver
Argentina,ARG,43416755,13431.8783398577,1960,Rome,Boxing,Boxing,"LAUDONIO, Abel Ricardo",Men,57 - 60KG (Lightweight),Bronze
Argentina,ARG,43416755,13431.8783398577,1960,Rome,Sailing,Sailing,"CALEGARIS, Hector",Men,Dragon,Silver
Argentina,ARG,43416755,13431.8783398577,1960,Rome,Sailing,Sailing,"DEL RIO SALAS, Jorge Alberto",Men,Dragon,Silver
Argentina,ARG,43416755,13431.8783398577,1960,Rome,Sailing,Sailing,"SALAS CHAVES, Jorge Alberto",Men,Dragon,Silver
Argentina,ARG,43416755,13431.8783398577,1964,Tokyo,Equestrian,Eventing,"MORATORIO, Carlos Alberto",Men,Individual,Silver
Argentina,ARG,43416755,13431.8783398577,1968,Mexico,Boxing,Boxing,"GUILOTTI GONZALEZ, Mario",Men,63.5 - 67KG (Welterweight),Bronze
Argentina,ARG,43416755,13431.8783398577,1968,Mexico,Rowing,Rowing,"DEMIDDI, Alberto",Men,Single Sculls (1X),Bronze
Argentina,ARG,43416755,13431.8783398577,1972,Munich,Rowing,Rowing,"DEMIDDI, Alberto",Men,Single Sculls (1X),Silver
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Tennis,Tennis,"SABATINI, Gabriela",Women,Singles,Silver
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Volleyball,Volleyball,"CASTELLANI, Daniel Jorge",Men,Volleyball,Bronze
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Volleyball,Volleyball,"COLLA, Daniel M.",Men,Volleyball,Bronze
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Volleyball,Volleyball,"CONTE, Hugo Nestor",Men,Volleyball,Bronze
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Volleyball,Volleyball,"CUMINETTI, Juan Carlos",Men,Volleyball,Bronze
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Volleyball,Volleyball,"DE PALMA, Esteban",Men,Volleyball,Bronze
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Volleyball,Volleyball,"DIZ, Alejandro",Men,Volleyball,Bronze
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Volleyball,Volleyball,"KANTOR, Waldo Ariel",Men,Volleyball,Bronze
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Volleyball,Volleyball,"MARTINEZ, Esteban Eduardo",Men,Volleyball,Bronze
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Volleyball,Volleyball,"QUIROGA, Raul Nicolas",Men,Volleyball,Bronze
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Volleyball,Volleyball,"URIARTE, Jon Emili",Men,Volleyball,Bronze
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Volleyball,Volleyball,"WEBER, Carlos",Men,Volleyball,Bronze
Argentina,ARG,43416755,13431.8783398577,1988,Seoul,Volleyball,Volleyball,"ZULIANELLO, Claudio F.",Men,Volleyball,Bronze
Argentina,ARG,43416755,13431.8783398577,1992,Barcelona,Tennis,Tennis,"FRANA, Javier",Men,Doubles,Bronze
Argentina,ARG,43416755,13431.8783398577,1992,Barcelona,Tennis,Tennis,"MINIUSSI, Christian Carlos",Men,Doubles,Bronze
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Boxing,Boxing,"CHACON, Pablo",Men,54 - 57KG (Featherweight),Bronze
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"ALMEYDA, Matias",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"AYALA, Roberto",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"BASSEDAS, Christian",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"BOSSIO, Carlos",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"CAVALLERO, Pablo",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"CHAMOT, Jose Antonio",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"CRESPO, Hernan",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"DELGADO, Marcelo",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"GALLARDO, Marcelo",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"LOPEZ, Claudio",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"LOPEZ, Gustavo",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"MORALES, Hugo",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"ORTEGA, Ariel",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"PAZ, Pablo",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"PINEDA, Hector",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"SENSINI, Roberto",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"SIMEONE, Diego",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Football,Football,"ZANETTI, Javier",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1996,Atlanta,Sailing,Sailing,"ESPINOLA, Carlos",Men,Board (Mistral),Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"AICEGA, Magdalena",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"ANTONISKA, Mariela",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"ARRONDO, Ines",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"AYMAR, Luciana",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"FERRARI, Maria Paz",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"GAMBERO, Ana",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"GARCIA, Agustina",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"HERNANDEZ, Maria de la Paz",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"MAIZTEGUI, Laura",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"MARGALOT, Mercedes",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"MASOTTA, Paula Karina",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"ONETO, Vanina Paula",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"RIMOLDI PUIG, Jorgelina",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"ROGNONI, Maria Cecilia",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"STEPNIK, Ayelen Iara",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Hockey,Hockey,"VUKOJICIC, Paola",Women,Hockey,Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Sailing,Sailing,"CONTE, Javier",Men,470 - Two Person Dinghy,Bronze
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Sailing,Sailing,"DE LA FUENTE, Juan",Men,470 - Two Person Dinghy,Bronze
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Sailing,Sailing,"ESPINOLA, Carlos",Men,Board (Mistral),Silver
Argentina,ARG,43416755,13431.8783398577,2000,Sydney,Sailing,Sailing,"AMATO, Serena",Women,Single-Handed Dinghy (Europe),Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Aquatics,Swimming,"BARDACH, Georgina",Women,400M Individual Medley,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Basketball,Basketball,"DELFINO, Carlos Francisco",Men,Basketball,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Basketball,Basketball,"FERNANDEZ, Gabriel Diego",Men,Basketball,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Basketball,Basketball,"GINOBILI, Emanuel David",Men,Basketball,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Basketball,Basketball,"GUTIERREZ, Leonardo Martin",Men,Basketball,Gold
