Country,Code,Population,GDP_per_Capita,Year,City,Sport,Discipline,Athlete,Gender,Event,Medal
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Skiing,Alpine Skiing,"ZIMMERMANN, Edith",Women,Downhill,Silver
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Skiing,Alpine Skiing,"STIEGLER, Josef",Men,Giant Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Skiing,Alpine Skiing,"SCHRANZ, Karl",Men,Giant Slalom,Silver
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Skiing,Alpine Skiing,"STIEGLER, Josef",Men,Slalom,Gold
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Bobsleigh,Bobsleigh,"DURNTHALER, Reinhold",Men,Four-Man,Silver
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Bobsleigh,Bobsleigh,"EDER, Josef",Men,Four-Man,Silver
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Bobsleigh,Bobsleigh,"GRUBER, Herbert",Men,Four-Man,Silver
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Bobsleigh,Bobsleigh,"THALER, Erwin",Men,Four-Man,Silver
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Luge,Luge,"SCHMID, Manfred",Men,Doubles,Silver
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Luge,Luge,"WALCH, Ewald",Men,Doubles,Silver
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Luge,Luge,"SCHMID, Manfred",Men,Singles,Gold
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Skating,Figure skating,"SCHWARZ, Wolfgang",Men,Individual,Gold
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Skiing,Alpine Skiing,"HAAS, Christl",Women,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Skiing,Alpine Skiing,"PALL, Olga",Women,Downhill,Gold
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Skiing,Alpine Skiing,"MESSNER, Heinrich",Men,Giant Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Skiing,Alpine Skiing,"MATT, Alfred",Men,Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Skiing,Alpine Skiing,"HUBER, Herbert",Men,Slalom,Silver
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Skiing,Ski Jumping,"PREIML, Baldur",Men,K90 Individual (70M),Bronze
Austria,AUT,8611088,43774.985173612,1968,Grenoble,Skiing,Ski Jumping,"BACHLER, Reinhold",Men,K90 Individual (70M),Silver
Austria,AUT,8611088,43774.985173612,1972,Sapporo,Skating,Figure skating,"SCHUBA, Beatrix",Women,Individual,Gold
Austria,AUT,8611088,43774.985173612,1972,Sapporo,Skiing,Alpine Skiing,"MESSNER, Heinrich",Men,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,1972,Sapporo,Skiing,Alpine Skiing,"MOSER-PROLL, Annemarie",Women,Downhill,Silver
Austria,AUT,8611088,43774.985173612,1972,Sapporo,Skiing,Alpine Skiing,"DREXEL, Wiltrud",Women,Giant Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1972,Sapporo,Skiing,Alpine Skiing,"MOSER-PROLL, Annemarie",Women,Giant Slalom,Silver
Austria,AUT,8611088,43774.985173612,1976,Innsbruck,Luge,Luge,"SCHACHNER, Franz",Men,Doubles,Bronze
Austria,AUT,8611088,43774.985173612,1976,Innsbruck,Luge,Luge,"SCHMID, Rudolf",Men,Doubles,Bronze
Austria,AUT,8611088,43774.985173612,1976,Innsbruck,Skiing,Alpine Skiing,"KLAMMER, Franz",Men,Downhill,Gold
Austria,AUT,8611088,43774.985173612,1976,Innsbruck,Skiing,Alpine Skiing,"TOTSCHNIGG, Brigitte",Women,Downhill,Silver
Austria,AUT,8611088,43774.985173612,1976,Innsbruck,Skiing,Ski Jumping,"SCHNABL, Karl",Men,K120 Individual (90M),Gold
Austria,AUT,8611088,43774.985173612,1976,Innsbruck,Skiing,Ski Jumping,"INNAUER, Anton",Men,K120 Individual (90M),Silver
Austria,AUT,8611088,43774.985173612,1976,Innsbruck,Skiing,Ski Jumping,"SCHNABL, Karl",Men,K90 Individual (70M),Bronze
Austria,AUT,8611088,43774.985173612,1980,Lake Placid,Luge,Luge,"FLUCKINGER, Georg",Men,Doubles,Bronze
Austria,AUT,8611088,43774.985173612,1980,Lake Placid,Luge,Luge,"SCHROTT, Karl",Men,Doubles,Bronze
Austria,AUT,8611088,43774.985173612,1980,Lake Placid,Skiing,Alpine Skiing,"STOCK, Leonhard",Men,Downhill,Gold
Austria,AUT,8611088,43774.985173612,1980,Lake Placid,Skiing,Alpine Skiing,"WIRNSBERGER, Peter",Men,Downhill,Silver
Austria,AUT,8611088,43774.985173612,1980,Lake Placid,Skiing,Alpine Skiing,"MOSER-PROLL, Annemarie",Women,Downhill,Gold
Austria,AUT,8611088,43774.985173612,1980,Lake Placid,Skiing,Alpine Skiing,"ENN, Hans",Men,Giant Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1980,Lake Placid,Skiing,Ski Jumping,"NEUPER, Hubert",Men,K120 Individual (90M),Silver
Austria,AUT,8611088,43774.985173612,1980,Lake Placid,Skiing,Ski Jumping,"INNAUER, Anton",Men,K90 Individual (70M),Gold
Austria,AUT,8611088,43774.985173612,1984,Sarajevo,Skiing,Alpine Skiing,"STEINER, Anton",Men,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,1988,Calgary,Skating,Speed skating,"HADSCHIEFF, Michael",Men,10000M,Silver
Austria,AUT,8611088,43774.985173612,1988,Calgary,Skating,Speed skating,"HADSCHIEFF, Michael",Men,1500M,Bronze
Austria,AUT,8611088,43774.985173612,1988,Calgary,Skiing,Alpine Skiing,"STROLZ, Hubert",Men,Alpine Combined,Gold
Austria,AUT,8611088,43774.985173612,1988,Calgary,Skiing,Alpine Skiing,"GSTREIN, Bernhard",Men,Alpine Combined,Silver
Austria,AUT,8611088,43774.985173612,1988,Calgary,Skiing,Alpine Skiing,"WACHTER, Anita",Women,Alpine Combined,Gold
Austria,AUT,8611088,43774.985173612,1988,Calgary,Skiing,Alpine Skiing,"STROLZ, Hubert",Men,Giant Slalom,Silver
Austria,AUT,8611088,43774.985173612,1988,Calgary,Skiing,Alpine Skiing,"MAYER, Helmut",Men,Super-G,Silver
Austria,AUT,8611088,43774.985173612,1988,Calgary,Skiing,Alpine Skiing,"WOLF, Sigrid",Women,Super-G,Gold
Austria,AUT,8611088,43774.985173612,1988,Calgary,Skiing,Nordic Combined,"SULZENBACHER, Klaus",Men,Individual,Silver
Austria,AUT,8611088,43774.985173612,1988,Calgary,Skiing,Nordic Combined,"ASCHENWALD, Hansjörg",Men,Team,Bronze
Austria,AUT,8611088,43774.985173612,1988,Calgary,Skiing,Nordic Combined,"CSAR, Günther",Men,Team,Bronze
Austria,AUT,8611088,43774.985173612,1988,Calgary,Skiing,Nordic Combined,"SULZENBACHER, Klaus",Men,Team,Bronze
Austria,AUT,8611088,43774.985173612,1992,Albertville,Bobsleigh,Bobsleigh,"APPELT, Ingo",Men,Four-Man,Gold
Austria,AUT,8611088,43774.985173612,1992,Albertville,Bobsleigh,Bobsleigh,"HAIDACHER, Gerhard",Men,Four-Man,Gold
Austria,AUT,8611088,43774.985173612,1992,Albertville,Bobsleigh,Bobsleigh,"SCHROLL, Thomas",Men,Four-Man,Gold
Austria,AUT,8611088,43774.985173612,1992,Albertville,Bobsleigh,Bobsleigh,"WINKLER, Harald",Men,Four-Man,Gold
Austria,AUT,8611088,43774.985173612,1992,Albertville,Luge,Luge,"SCHMIDT, Markus",Men,Singles,Bronze
Austria,AUT,8611088,43774.985173612,1992,Albertville,Luge,Luge,"PROCK, Markus",Men,Singles,Silver
Austria,AUT,8611088,43774.985173612,1992,Albertville,Luge,Luge,"NEUNER, Doris",Women,Singles,Gold
Austria,AUT,8611088,43774.985173612,1992,Albertville,Luge,Luge,"NEUNER, Angelika",Women,Singles,Silver
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skating,Speed skating,"HUNYADY, Emese",Women,3000M,Bronze
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Alpine Skiing,"KRONBERGER, Petra",Women,Alpine Combined,Gold
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Alpine Skiing,"WACHTER, Anita",Women,Alpine Combined,Silver
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Alpine Skiing,"MADER, Günther",Men,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Alpine Skiing,"ORTLIEB, Patrick",Men,Downhill,Gold
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Alpine Skiing,"STALLMAIER, Veronika",Women,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Alpine Skiing,"WACHTER, Anita",Women,Giant Slalom,Silver
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Alpine Skiing,"TRITSCHER, Michael",Men,Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Alpine Skiing,"KRONBERGER, Petra",Women,Slalom,Gold
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Nordic Combined,"SULZENBACHER, Klaus",Men,Individual,Bronze
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Nordic Combined,"KREINER, Stefan",Men,Team,Bronze
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Nordic Combined,"OFNER, Klaus",Men,Team,Bronze
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Nordic Combined,"SULZENBACHER, Klaus",Men,Team,Bronze
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Ski Jumping,"KUTTIN, Heinz",Men,K120 Individual (90M),Bronze
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Ski Jumping,"HOELLWARTH, Martin",Men,K120 Individual (90M),Silver
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Ski Jumping,"FELDER, Andreas",Men,K120 Team (90M),Silver
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Ski Jumping,"HOELLWARTH, Martin",Men,K120 Team (90M),Silver
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Ski Jumping,"KUTTIN, Heinz",Men,K120 Team (90M),Silver
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Ski Jumping,"VETTORI, Ernst",Men,K120 Team (90M),Silver
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Ski Jumping,"VETTORI, Ernst",Men,K90 Individual (70M),Gold
Austria,AUT,8611088,43774.985173612,1992,Albertville,Skiing,Ski Jumping,"HOELLWARTH, Martin",Men,K90 Individual (70M),Silver
Austria,AUT,8611088,43774.985173612,1994,Lillehammer,Luge,Luge,"PROCK, Markus",Men,Singles,Silver
Austria,AUT,8611088,43774.985173612,1994,Lillehammer,Luge,Luge,"TAGWERKER, Andrea",Women,Singles,Bronze
Austria,AUT,8611088,43774.985173612,1994,Lillehammer,Skating,Speed skating,"HUNYADY, Emese",Women,1500M,Gold
Austria,AUT,8611088,43774.985173612,1994,Lillehammer,Skating,Speed skating,"HUNYADY, Emese",Women,3000M,Silver
Austria,AUT,8611088,43774.985173612,1994,Lillehammer,Skiing,Alpine Skiing,"MAYER, Christian",Men,Giant Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1994,Lillehammer,Skiing,Alpine Skiing,"STANGASSINGER, Thomas",Men,Slalom,Gold
Austria,AUT,8611088,43774.985173612,1994,Lillehammer,Skiing,Alpine Skiing,"EDER, Elfriede",Women,Slalom,Silver
Austria,AUT,8611088,43774.985173612,1994,Lillehammer,Skiing,Ski Jumping,"GOLDBERGER, Andreas",Men,K120 Individual (90M),Bronze
Austria,AUT,8611088,43774.985173612,1994,Lillehammer,Skiing,Ski Jumping,"GOLDBERGER, Andreas",Men,K120 Team (90M),Bronze
Austria,AUT,8611088,43774.985173612,1994,Lillehammer,Skiing,Ski Jumping,"HORNGACHER, Stefan",Men,K120 Team (90M),Bronze
Austria,AUT,8611088,43774.985173612,1994,Lillehammer,Skiing,Ski Jumping,"KUTTIN, Heinz",Men,K120 Team (90M),Bronze
Austria,AUT,8611088,43774.985173612,1994,Lillehammer,Skiing,Ski Jumping,"MOSER, Christian",Men,K120 Team (90M),Bronze
Austria,AUT,8611088,43774.985173612,1998,Nagano,Luge,Luge,"NEUNER, Angelika",Women,Singles,Bronze
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Alpine Skiing,"MAYER, Christian",Men,Alpine Combined,Bronze
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Alpine Skiing,"REITER, Mario",Men,Alpine Combined,Gold
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Alpine Skiing,"TRINKL, Hannes",Men,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Alpine Skiing,"MAIER, Hermann",Men,Giant Slalom,Gold
